Year,Quarter_ID,Quarter,Month_ID,Month,Day,Time_ID,Time,Nation_ID,Nation,Accum_Cases,Daily_Cases,AVG_7_Days_Accum_Cases,AVG_7_Days_Daily_Cases,Rate_Daily_Cases,Rate_Accum_Cases,Days_from_50_Cases,Style
2020,1,Q1,3,2020-03,15,20200315,15/03/2020,mex,México,327,37,189.2857208,36.7142868,0.028953234,0.255883992,10,solid
2020,1,Q1,3,2020-03,16,20200316,16/03/2020,mex,México,403,76,236.1428528,46.8571434,0.059471507,0.31535551,11,solid
2020,1,Q1,3,2020-03,17,20200317,17/03/2020,mex,México,507,104,295.4285583,59.2857132,0.081382066,0.396737576,12,solid
2020,1,Q1,3,2020-03,18,20200318,18/03/2020,mex,México,623,116,365.7142944,70.2857132,0.090772301,0.487509876,13,solid
2020,1,Q1,3,2020-03,19,20200319,19/03/2020,mex,México,774,151,451.7142944,86,0.118160494,0.605670333,14,solid
2020,1,Q1,3,2020-03,20,20200320,20/03/2020,mex,México,906,132,547.1428833,95.42857361,0.103292622,0.708962977,15,solid
2020,1,Q1,3,2020-03,21,20200321,21/03/2020,mex,México,991,85,647.2857056,100.1428604,0.066514187,0.775477171,16,solid
2020,1,Q1,3,2020-03,22,20200322,22/03/2020,mex,México,1062,71,752.2857056,105,0.055558909,0.831036091,17,solid
2020,1,Q1,3,2020-03,23,20200323,23/03/2020,mex,México,1229,167,870.2857056,118,0.130680814,0.96171689,18,solid
2020,1,Q1,3,2020-03,24,20200324,24/03/2020,mex,México,1450,221,1005,134.7142792,0.172936887,1.134653807,19,solid
2020,1,Q1,3,2020-03,25,20200325,25/03/2020,mex,México,1635,185,1149.571411,144.5714264,0.144766167,1.279419899,20,solid
2020,1,Q1,3,2020-03,26,20200326,26/03/2020,mex,México,1860,225,1304.714233,155.1428528,0.176066965,1.455486894,21,solid
2020,1,Q1,3,2020-03,27,20200327,27/03/2020,mex,México,2124,264,1478.714233,174,0.206585243,1.662072182,22,solid
2020,1,Q1,3,2020-03,28,20200328,28/03/2020,mex,México,2315,191,1667.857178,189.1428528,0.149461284,1.811533451,23,solid
2020,1,Q1,3,2020-03,29,20200329,29/03/2020,mex,México,2482,167,1870.714233,202.8571472,0.130680814,1.942214251,24,solid
2020,1,Q1,3,2020-03,30,20200330,30/03/2020,mex,México,2827,345,2099,228.2857208,0.269969344,2.212183714,25,solid
2020,1,Q1,3,2020-03,31,20200331,31/03/2020,mex,México,3138,311,2340.142822,241.1428528,0.243363678,2.455547333,26,solid
2020,2,Q2,4,2020-04,1,20200401,01/04/2020,mex,México,3519,381,2609.285645,269.1428528,0.298140049,2.753687382,27,solid
2020,2,Q2,4,2020-04,2,20200402,02/04/2020,mex,México,3866,347,2895.857178,286.5714417,0.271534383,3.025221825,28,solid
